LOZZx,python,55
JiOH,python,77
jWUge,java,63
kFzQZ,python,71
FcCElc,java,98
Eybl,HTML,88
raTI,C++,77
MpVyrG,java,71
TEOsI,HTML,91
raTI,python,80
YFpJN,python,89
wHshwt,java,100
raTI,HTML,74
vTOzc,python,78
LcZm,java,52
Eybl,java,70
JiOH,java,86
NDQLd,python,72
MpVyrG,C++,80
Eybl,python,61
NBg,java,67
IBQ,java,95
vTOzc,C++,93
Eybl,C++,88
raTI,java,64
MpVyrG,HTML,88
DuPX,C++,72
Exd,python,70
TEOsI,python,96
wHshwt,HTML,79
LcZm,python,88
NDQLd,HTML,61
YFpJN,java,71
mFP,HTML,83
TEOsI,java,80
PnjQ,HTML,81
kFzQZ,C++,57
JiOH,C++,87
inm,C++,80
inm,HTML,95
DuPX,java,74
Unhmvj,python,54
Exd,HTML,70
JiOH,HTML,91
inm,python,73
ZZEv,java,73
NBg,C++,100
FcCElc,python,89
Exd,java,53
NBg,HTML,89
TEOsI,C++,71
mFP,python,72
sDh,java,98
sDh,HTML,97
FcCElc,HTML,76
srEVH,python,90
LOZZx,java,58
sDh,C++,89
PnjQ,C++,84
ZZEv,HTML,95
vTOzc,HTML,59
YFpJN,C++,53
ZZEv,python,70
